id,id-prov,date,title,language,author,city,materials,dimensions,domain,description,notes,condition,observations,provenance,links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696.1,7,1696,MUNDI MIRABILIS OECONOMIA,Latin,"ZAHN, Johann","Nuremberg, chez Joan. Christ. Lochner","in 2°, plein veau glacé, dos plein à 6 nerfs apparents, dorure dos XVIIIe avec pièce de titre en chagrin bordeaux, coupes dorées à roulette (XVIIIe), tranches ,rognées et colorée sur les 3 côtés, tranchefiles pékinées bicolore sur septain de papier, gardes volantes en papier vergé, gardes et contregardes en papier marbré XVIIIe, corps d'ouvrage en papier vergé","41,8 x 27,7 x 10,3",Livre,"Frontispice gravé (eau-forte), page de titre en noir et rouge, portrait gravé du dédicataire par G.C. Eimmart, nombreuses planches gravées en pleine page et double page, nombreux bois gravés et eaux-fortes dans le texte. [3], [X], 248 p., [7] ","Ex-libris du Dr Maurice Villaret, cachets des collections Rabaut et Château de Saint Andiol",A,,"Librairie Alain Brieux, Paris, 15.04.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700.1,229,1700,DE GESTALTE DER MANE VOLGENS DE NIEUWSTE ERVARENIS DER GROOTE VERREKIJKERS,Hollandais,GOEREE Jan & Willelm,Amsterdam ,papier vergé,"35,3 x 23",Estampe,Estampe (burin) figurant des groupes de personnages observant la Lune. Illustration extraite d'un ouvrage (p. 926),  ,A,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717.1,50,1717,CONNOISSANCE DES TEMPS POUR L'ANNEE 1718 ,Français,"LIEUTAUD, pour l'Académie Royale des Sciences","Paris, Mariette ","in 12°, plein parchemin, reliure souple, dos brisé, tranches rognées sur 3 côtés, gardes et contregardes en papier vergé, corps d'ouvrage en papier vergé","16,8 x 10 x 1,8",Livre,Ouvrage illustré de 3 planches gravées au burin à déplier et de nombreux bois gravés dans le texte,Dédicace manuscrite à M. de Villantroys à Autun,A,,"Hugues de Latude, 08.2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718.1,8,1718,INTRODUCTIO AD VERAM ASTRONOMIAM,Latin,KEILL John,"Londres, Oxford, imprimé par Jo. Baron, chez D. Pauli","in 8°, plein veau estampé à froid, dos plein avec 5 nerfs apparents, tranches rognées et jaspées sur 3 côtés, tranchefiles pékinées simples, gardes et contregardes en papier vergé, corps d'ouvrage en papier vergé","20 x 13 x 4,7",Livre,"Page de titre ornée d'une vignette gravée au burin. Quelques illustrations gravées (burin) en pleine page, nombreux bois gravés dans le texte. [IV], 496 p.",1ère édition,A,,"Antiquariat Daniel Good, Suisse, 04.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721.1,160,1721,DISSERTATIO PHYSICO-ASTRONOMICA DE FACIE LUNAE,Latin,CELSIO Nicolao,Upsaliae literis Wernerianis,"reliure bradel plein papier marbré, tranches rognées sur 3 côtés, gardes et contregardes en papier vergé, garde volante supérieur en papier vergé, corps d'ouvrage en papier vergé","14,4 x 9,3 x 1",Livre,"Page de titre, plusieurs dédicaces, 2 bois gravés (p.1) et 2 bois gravés en pleine page à déplier. [X],54 p.", ,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728.1,9,1728,HESPERI / PHOSPHORI  NOVA PHAENOMENA,Latin,BIANCHINI Francesco,"Rome, Johannem Mariam Salvioni","in 2°, plein parchemin à dos brisé (pastiche), tranches originales jaspées bleues et rognées sur les 3 côtés, tranchefiles sur bandes de peau mégis, gardes et contregardes en papier vergé, corps d'ouvrage en papier vergé ","40,7 x 27,4 x 4",Livre,"Page de titre en noir et rouge ornée d'une vignette gravée (burin et eau-forte), frontispice gravé (burin) par Rocchus Pozzi, nombreuses planches gravées dans le texte et en pleine page dont deux en manière noire", ,A,,"B.&L. Tootenberg, Sherman Oaks, CA, 03.08.2009", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728.2.1,172,1728,"OEUVRES DIVERSES DE M. DE FONTENELLE, TOME PREMIER",Français,"FONTENELLE, M. de","La Haye, Gosse et Neaulme","In 4°, plein veau tacheté à l'acide, dorure dos XVIIIe, pièce de titre et de tomaison en veau fauve, encadrement des plats avec un triple filet, armes dorées sur le plat supérieur, signet bleu, tranches rognées et marbrées sur 3 côtés, tranchefiles pékinées bicolores, grades et contregardes marbrées cailloutées, grade volante en papier vergé, corps d'ouvrage enpapier vergé","29,4 x 23,7 x 4,1",Livre,"Ouvrage compilant plusieurs textes de Fontenelle. 3 frontispices, une page de titre générale en noir et rouge ornée d'une vignette (burins de B. Picart),  nombreux bois gravés dans le texte (lettrines, culs-de-lampes etc.). [VIII], 376 p.",Ex-libris de Joshua Smith,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728.2.2,172b,1728,"OEUVRES DIVERSES DE M. DE FONTENELLE, TOME SECOND",Français,"FONTENELLE, M. de","La Haye, Gosse et Neaulme","In 4°, plein veau tacheté à l'acide, dorure dos XVIIIe, pièce de titre et de tomaison en veau fauve, encadrement des plats avec un triple filet, arme dorées sur le plat supérieur, tranches rognées et marbrées sur 3 côtés, signet bleu, tranchefiles pékinées bicolores, grades et contregardes marbrées cailloutées, grade volante en papier vergé, corps d'ouvrage enpapier vergé","29,5 x 23,7 x 4,7",Livre,"Ouvrage compilant plusieurs textes de Fontenelle. 1 frontispice et une page de titre générale en noir et rouge ornée d'une vignette (burins de B. Picart),  nombreux bois gravés et burins dans le texte (lettrines, culs-de-lampes etc.). [VII], 440 p.",Ex-libris de Joshua Smith,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728.2.3,172c,1728,"OEUVRES DIVERSES DE M. DE FONTENELLE, TOME TROISIEME",Français,"FONTENELLE, M. de","La Haye, Gosse et Neaulme","In 4°, plein veau tacheté à l'acide, dorure dos XVIIIe, pièce de titre et de tomaison en veau fauve, encadrement des plats avec un triple filet, armes dorées sur le plat supérieur, tranches rognées et marbrées sur 3 côtés, tranchefiles pékinées bicolores, grades et contregardes marbrées cailloutées, grade volante en papier vergé, corps d'ouvrage enpapier vergé","29,4 x 23,7 x 4,6",Livre,"Ouvrage compilant plusieurs textes de Fontenelle. 1 frontispice et une page de titre générale en noir et rouge ornée d'une vignette (burins de B. Picart),  nombreux bois gravés et burins dans le texte (lettrines, culs-de-lampes etc.). [VII], 434 p.",Ex-libris de Joshua Smith,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742.1,194,1742,ATLAS NOVUS COELESTIS IN QUOI MUNDUS SPECTABILIS ET IN EODEM STEALLARUM OMNIUM PHOENOMENA NOTALILIA,Latin,DOPPELMAYR Johann Gabriel,"Nuremberg, chez les héritiers d'Homann","plein parchemin, encadrement des plats à la roulette, décor doré à la plaque,  double filet, des fleurons en forme de globe aux 4 coins, dos fileté avec des fleurons centraux, couture sur bande de parchemin - type reliure hollandaise, tranchefiles pékinées sur bande de parchemin, gardes et contregardes en papier vergé, corps d'ouvrage en papier vergé ","54,7 x 35,1 x 3,3",Livre,"Frontispice gravé (burin) par Reinsperger, page de titre en noir et rouge ornée d'une vignette gravée (burin), index imprimé suivi de 30 planches gravées et coloriées à la main; une planche libre en fin d'ouvrage", ,A,,"Librairie Alain Brieux, Paris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746.1,10,1746,INSTITUTIONS ASTRONOMIQUES ou LECONS ELEMENTAIRES D'ASTRONOMIE,Français,LE MONNIER Pierre Charles / KEILL John,"Paris, Hippolyte -Louis et Jacques Guérin","in 4° plein veau glacé (tacheté à l'acide) XVIIIe, dos plein avec 5 nerfs apparents, dorure dos XVIIIe, encadrement des plats doré à froid de 3 filets, coupes dorées d'un filet double, tranches rognées et colorées sur les 3 côtés, tranchefiles pékinées simples, gardes volantes en papier vergé, contregardes et gardes contrecollées en papier marbré escargots XVIIIe, corps d'ouvrage en papier vergé ","25,6 x 20,4 x 5,6 ",Livre,"Page de titre, dédicace, nombreuses illustrations gravées en double page, bois gravés dans le texte. [8], [XIV], 660 p. ","1ère édition de l'ouvrage de Keill en français, traduction et notes de Le Monnier",A,,"Librairie Alain Brieux, Paris, 15.10.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751.1,61,1751,"L'USAGE DES GLOBES CELESTE ET TERRESTRE, ET DES SPHERES SUIVANT LES DIFFERENS SYSTEMES DU MONDE",Français,BION N.,"Paris, Guérin et Nyon fils","in 4° plein veau glacé (tacheté à l'acide) XVIIIe, dos plein avec 5 nerfs apparents, dorure dos XVIIIe, encadrement des plats doré à froid avec 1 filet, coupe dorées avec une roulette, tranches rognées et colorées sur les 3 côtés, tranchefiles pékinée simple, gardes volantes en papier vergé, contregardes et gardes en papier marbré escargots XVIIIe, corps d'ouvrage en papier vergé ","22,1 x 14,8 x 4,7",Livre,"Page de titre, dédicace ornée d'une vignette gravée (burin), bois gravés dans le texte (lettrines et culs-de-lampe), planches gravées en taille-douce en pleine page",6ème édition,A,,"Peter Harrington Antiquarian bookseller, Londres, 08.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
